"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2013-02-19,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-19,102,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-19,103,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-02-19,104,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-02-19,105,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-02-19,106,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2013-02-19,107,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2013-02-19,108,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2013-02-22,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-22,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-22,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-02-22,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-02-22,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-02-22,6,305,,5,,"305 lb || 5 reps","207"
"Barbell Squat",2013-02-22,7,305,,5,,"305 lb || 5 reps","207"
"Barbell Squat",2013-02-22,8,305,,5,,"305 lb || 5 reps","207"
"Barbell Squat",2013-02-23,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-23,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-23,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-02-23,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-02-23,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-02-23,6,310,,5,,"310 lb || 5 reps","214"
"Barbell Squat",2013-02-23,7,310,,5,,"310 lb || 5 reps","214"
"Barbell Squat",2013-02-23,8,310,,5,,"310 lb || 5 reps","214"
"Barbell Squat",2013-02-26,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-26,2,45,,5,,"45 lb || 5 reps","36"
